Metric,Mean,Std,Min,Max
PSNR,28.14675521850586,2.334439992904663,16.329692840576172,32.99077224731445
SSIM,0.688216288117466,0.044039044461914215,0.5619823097007147,0.8012315794142983
RMSE,0.04079923778772354,0.013971395790576935,0.022411007434129715,0.15258623659610748
MRAE,0.19391484558582306,0.038474444299936295,0.13851577043533325,0.38789764046669006
Spectral Fidelity,0.9933933019638062,0.0034498360473662615,0.9828327298164368,0.9969315528869629
Inference Time,54.984342098236084,7.929484478936405,41.910648345947266,78.19581031799316
Spectral Smoothness Loss,0.004475800477084704,0.0013261631922329453,0.0004780027666129172,0.011963759548962116
Spectral TV Loss,0.04340821970254183,0.0026275308733222347,0.03330777585506439,0.0542861744761467
