filename,inference_time_ms,psnr,rmse,mrae,ssim,spectral_fidelity,loss_mse_loss,loss_spectral_smoothness_loss,loss_spatial_consistency_loss,loss_spectral_angle_loss,loss_spectral_tv_loss,loss_spectral_dict_loss,loss_ssim_loss
AVIRIS_377.tif,62.5002384185791,29.449497,0.033691876,0.15235744,0.6876172311902023,0.99629307,0.0011351426364853978,0.004041213542222977,0.0003519047168083489,0.07857690751552582,0.042750775814056396,0.0010397157166153193,0.09652674198150635
AVIRIS_181.tif,62.4995231628418,29.469034,0.03361617,0.15193035,0.6906144917012402,0.9962721,0.0011300469050183892,0.004049526993185282,0.00039554195245727897,0.07862568646669388,0.042737070471048355,0.0010345956543460488,0.09295862913131714
AVIRIS_9.tif,46.8754768371582,28.888006,0.03594179,0.1876172,0.6223824243900646,0.99555975,0.0012918126303702593,0.004917311016470194,0.000665216357447207,0.08660100400447845,0.044339824467897415,0.0012342482805252075,0.13554030656814575
AVIRIS_321.tif,46.8752384185791,28.339766,0.03828351,0.19565582,0.6577535339857515,0.99531955,0.0014656268758699298,0.00497254217043519,0.0005673110717907548,0.08858204632997513,0.04454081878066063,0.00126730278134346,0.13000845909118652
AVIRIS_387.tif,46.86903953552246,28.39672,0.038033295,0.18466865,0.6900082917283399,0.99586976,0.0014465318527072668,0.005244289059191942,0.0006106649525463581,0.08244848251342773,0.044996727257966995,0.0013579492224380374,0.1437508463859558
AVIRIS_240.tif,62.500715255737305,31.014313,0.028137423,0.1877743,0.7047342534665294,0.99385107,0.0007917144102975726,0.0029947564471513033,0.0002592146338429302,0.1039823368191719,0.04053443297743797,0.0007718146662227809,0.1029401421546936
AVIRIS_492.tif,46.88072204589844,30.01591,0.031564906,0.18153101,0.6535027018864706,0.99565977,0.0009963432094082236,0.0011139096459373832,0.0001512186136096716,0.07825629413127899,0.03551121801137924,0.00026546570006757975,0.07080942392349243
AVIRIS_78.tif,62.500715255737305,32.293247,0.024284981,0.16344328,0.7546508610072615,0.99434406,0.0005897603696212173,0.0021819930989295244,0.00019399230950511992,0.10320597141981125,0.03851858153939247,0.0005495867808349431,0.06845253705978394
AVIRIS_455.tif,46.8752384185791,32.990772,0.022411007,0.20968655,0.760873888792517,0.9933632,0.0005022531840950251,0.001033514505252242,0.0001901631330838427,0.11088424921035767,0.03523774817585945,0.00024296093033626676,0.08463555574417114
AVIRIS_311.tif,46.88000679016113,29.390059,0.033923216,0.15263931,0.6828774340336324,0.9963172,0.0011507848976179957,0.004006370902061462,0.0003813626244664192,0.07828022539615631,0.042679011821746826,0.0010279943235218525,0.09461838006973267
AVIRIS_290.tif,46.8752384185791,29.887865,0.032033674,0.15127844,0.6858539495907385,0.9962394,0.001026156242005527,0.003908256068825722,0.00041545566637068987,0.07967803627252579,0.04244043678045273,0.0009943890618160367,0.0966600775718689
AVIRIS_141.tif,62.497854232788086,29.337996,0.034127165,0.17132759,0.7203113903696181,0.99507666,0.0011646633502095938,0.004896396771073341,0.000778701389208436,0.09341300278902054,0.044183798134326935,0.0012187189422547817,0.12346917390823364
AVIRIS_434.tif,63.19880485534668,28.976028,0.035579395,0.17325331,0.6730008318759607,0.995536,0.0012658933410421014,0.005131307989358902,0.00037580833304673433,0.08873168379068375,0.04499923065304756,0.001362105831503868,0.11118406057357788
AVIRIS_50.tif,46.87762260437012,28.746716,0.03653123,0.1618606,0.6859659430151678,0.9959624,0.0013345304178074002,0.00460846209898591,0.00037813500966876745,0.08138465881347656,0.04390651732683182,0.001198955811560154,0.10338723659515381
AVIRIS_485.tif,62.4997615814209,24.341412,0.060663775,0.24695376,0.6296056820839924,0.9895453,0.0036800934467464685,0.006252286024391651,0.0005471367621794343,0.138921856880188,0.04696675390005112,0.0016790296649560332,0.18307340145111084
AVIRIS_442.tif,62.50190734863281,22.341389,0.076371364,0.27734,0.728555130763125,0.98580617,0.005832585506141186,0.0071472469717264175,0.0010447563836351037,0.16373905539512634,0.04816746339201927,0.0018686954863369465,0.18720519542694092
AVIRIS_57.tif,46.875715255737305,28.398417,0.038025875,0.174283,0.6680987197332349,0.9955538,0.0014459677040576935,0.004773183725774288,0.0004104543477296829,0.08524703234434128,0.044225744903087616,0.0012386414455249906,0.10208249092102051
AVIRIS_490.tif,62.50286102294922,28.953747,0.03567078,0.1562073,0.6866541963505003,0.99615765,0.0012724041007459164,0.004640577360987663,0.0003976127482019365,0.07978745549917221,0.043990571051836014,0.001209875917993486,0.10237288475036621
AVIRIS_4.tif,46.8754768371582,29.832523,0.03223843,0.16672854,0.5940012690972372,0.99611074,0.0010393164120614529,0.00446449127048254,0.0003782829735428095,0.08177617192268372,0.04366248846054077,0.0011616883566603065,0.13721978664398193
AVIRIS_55.tif,46.875,26.955774,0.04489638,0.23353611,0.731741630510719,0.9877448,0.002015684964135289,0.003973929211497307,0.00041544088162481785,0.15136845409870148,0.042508482933044434,0.0010108823189511895,0.1332826018333435
AVIRIS_25.tif,46.877145767211914,28.965605,0.035622124,0.15722007,0.6887016845591957,0.99609053,0.0012689357390627265,0.00466458173468709,0.00041287470958195627,0.08038169890642166,0.04402174428105354,0.0012135610450059175,0.10253262519836426
AVIRIS_443.tif,62.528371810913086,27.706125,0.0411807,0.21302067,0.6616590900756649,0.99249095,0.0016958495834842324,0.004228709265589714,0.0013084722450003028,0.10793807357549667,0.04235389083623886,0.0009461704757995903,0.1636267900466919
AVIRIS_421.tif,62.5004768371582,29.647682,0.03293184,0.17321059,0.6548573716160214,0.9946124,0.001084506162442267,0.004034582991153002,0.0003551903646439314,0.09801694005727768,0.04279192164540291,0.0010504350066184998,0.11578798294067383
AVIRIS_91.tif,46.88286781311035,23.794147,0.06460895,0.2575948,0.7178783907452233,0.9870191,0.004174316767603159,0.006218619178980589,0.0008809150895103812,0.15672649443149567,0.04670299217104912,0.0016197439981624484,0.1690610647201538
AVIRIS_314.tif,62.7899169921875,28.306694,0.038429555,0.17311214,0.6676967395921026,0.99561006,0.0014768311521038413,0.004740628879517317,0.0003904647601302713,0.08474947512149811,0.044165365397930145,0.0012298012152314186,0.10400325059890747
AVIRIS_241.tif,46.875953674316406,29.27763,0.034365166,0.18278645,0.7800686039138829,0.99333465,0.001180964638479054,0.004050775431096554,0.0005562272272072732,0.11197403818368912,0.04263940453529358,0.0010288789635524154,0.09601044654846191
